Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9629851784963094,0.014710901752337368,0.5665576001412854,0.5252400838308807,21.89476554394826,0.617515223622322
2,0.9990136259187481,0.010016723275184632,0.649783713375023,0.6479069651243929,19.62810823711234,0.6469864587222829
3,1.0048541954605879,0.00913327439459498,0.7014802839941607,0.7050310786041671,22.672533558405195,0.6559741612041697
4,1.004488873881494,0.008692964490079237,0.7105254864549922,0.7147331836266432,22.362083950564198,0.6618009920681224
5,1.0023322193922397,0.008529438225184371,0.5341754291228905,0.5327591518941753,22.548050636781312,0.6672542108507717
6,1.000284902035833,0.008405203945979387,0.5124551236558104,0.5134468505910771,22.431336913925044,0.6676644480929655
7,1.00140214052029,0.008079114230182356,0.7539505029010202,0.7556253657226791,22.586499443455388,0.6574676075402428
8,1.0009569639931182,0.007777282855066354,0.832794740157213,0.8331708987887034,23.05902848540481,0.6801477505880243
9,1.0019414294408466,0.007751783073885355,0.760583947504352,0.761564951728204,23.1524049553874,0.6802366051954382
10,1.0017167671854625,0.00777046856420215,0.8082774133453826,0.809663037282978,23.217405754569683,0.6819745814099031
11,1.0026992112291073,0.007591233498188193,0.7938317893507951,0.7957601082824661,23.29467897503838,0.6806784352835487
12,1.0035396448580804,0.007524153233845969,0.7729692404855512,0.7759460937048861,22.268139160613188,0.6714194851763108
13,1.0032457773699732,0.0075240175350162085,0.7672455827633063,0.7701533382238742,23.386519404520072,0.6855562705853406
14,1.005114639533494,0.007501827117702561,0.7565910082805657,0.7604857491019243,23.262370414805783,0.6848315821675693
15,1.005749056210775,0.007533185456148879,0.7731915373430994,0.778736783787162,22.783595806100607,0.6864568133213941
16,1.0019937389625047,0.007317246811877111,0.7864855225357467,0.7877260710236555,23.319745205818005,0.6838841823970571
17,1.00591381895328,0.0073010809028041575,0.7576190072476507,0.7620563232399032,23.47218074851042,0.6903132051580092
18,1.0035384640579452,0.007271407577292826,0.6945069475088291,0.6968602392630663,23.33062595569328,0.6917712225633509
19,1.0023946368622922,0.007111470371395528,0.7071075345085053,0.7093547972662007,23.440664783900857,0.6914730330775766
20,1.00140398663675,0.007112532583271672,0.7704140925121878,0.7713505755213207,23.48338619824831,0.6910050142512602
21,1.002898306932278,0.007235237395692014,0.8363804182892074,0.83847068346903,22.58669451141437,0.6680586123466492
22,1.002118572303635,0.007241829086742002,0.8156414975092082,0.8171072602129268,23.480259423864705,0.6923308982568629
23,1.0020000487887217,0.007108115841840913,0.804312937687971,0.8057228406746231,23.50638617209473,0.6915607286902035
24,1.0050698901650434,0.007478573878858975,0.8487688955575406,0.8531938686627828,23.25899835726199,0.6847588877818164
25,1.0012326632288402,0.007003517791874216,0.8620915438886174,0.8629260282744905,23.53629432196273,0.6958569127671859
26,1.0033084400542482,0.006889119854163446,0.8326021206735851,0.8353762002191144,23.597595423214067,0.6945512744258432
27,1.0016328876461098,0.007777837790147273,0.8531828580930562,0.8542940093657214,23.42011835315938,0.6870703902665306
28,1.0035803142707505,0.0070238669332629905,0.8509841767899291,0.8540232896804809,23.572686036171987,0.6921514795107
29,1.0032180176809162,0.006917633367200454,0.7969010934572733,0.7994070080511584,23.563869410566895,0.6938599099832422
30,1.0042668005663478,0.006943248326549987,0.7738540363740064,0.7770472027298932,23.289454999908795,0.694572715548908
31,1.002577090548898,0.006913149146151222,0.7547082022278608,0.7562748262982169,23.480296593353902,0.6920214983996223
32,1.0011615418102926,0.007155948789667584,0.5317579603266573,0.5311304484013312,23.558157044330194,0.6939454852833468
33,1.0011406239920748,0.007099725215913293,0.4810087358166358,0.4833674112765375,23.647213982656886,0.695480119971668
34,1.0014994650401041,0.006894999009272653,0.6685998415946961,0.6690056488471117,23.702970307262202,0.6993129585771
35,1.0029087793327378,0.007031227797492892,0.5874911158670209,0.5894698550172909,23.627861720170323,0.7002969658374787
36,1.0031736740380703,0.007034554962782625,0.6063266873930743,0.608765441015095,23.610282887447088,0.6992492372849408
37,1.0020116155019063,0.006974075719000336,0.6344981338021284,0.6359432599073399,23.726721361508183,0.6997111320495606
38,1.0020199758563926,0.006872817900277183,0.6824574585874638,0.6843212851792753,23.673207377925046,0.6962470516036539
39,1.000736510225399,0.006794485689704111,0.7141371015874212,0.7145674862547549,23.717776756998376,0.7010897353817435
40,1.0028717135240932,0.006824349158159095,0.7363102511303153,0.738873314985972,23.65294821905195,0.7006962314774008
41,1.0011356662133497,0.0068537155800906125,0.7932853302270353,0.7945027632199362,23.71711876847855,0.7016061612437753
42,1.0013019371318246,0.006765222426080061,0.8036141205833344,0.8046126114251371,23.60340388779573,0.6991338019511278
43,1.0006604318989964,0.0066983063405234656,0.8067086458348942,0.806961253131935,23.709992200371772,0.7042347551794613
44,1.00203222857264,0.006907418307229252,0.7783830279789998,0.7798921160498065,23.695811410511304,0.6959484760200276
45,1.000184311095826,0.006680534058836049,0.7499395773653499,0.7497060476520104,23.75067210461921,0.7012519736850963
46,1.0005285946052231,0.0066986057358587574,0.7859341507471964,0.7862524449753904,23.734094586238275,0.7009266636652105
47,1.0002236527311588,0.006647684370351587,0.8231287381891719,0.823462982192011,23.69434345503542,0.6998184313493616
48,1.0009064730341564,0.006768289567668459,0.632580569482849,0.6317829559234802,23.760633821817635,0.7035225751119502
49,1.0004987879142075,0.007134155463984984,0.4596461257820358,0.4599700515427275,23.715026733235746,0.7038482864464031
50,1.0008037962313898,0.00683729755998907,0.5346524590218139,0.5356281491667925,23.66601459567859,0.7019435813146478
